epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,161.842,1.07372,1.63103,1.09923,0.00364,1,0.36049,0.17692,1.22174,3.34675,1.17511,0.000490728,0.000490728,0.000490728
44,165.241,1.20379,1.59537,1.196,0.00364,1,0.36049,0.17692,1.22174,3.34675,1.17511,0.000493898,0.000493898,0.000493898
45,168.727,1.31932,1.53009,1.14947,0.00364,1,0.38243,0.17294,1.25605,3.34837,1.1757,0.000496672,0.000496672,0.000496672
46,172.067,1.36668,1.59133,1.12174,0.00364,1,0.38243,0.17294,1.25605,3.34837,1.1757,0.00049905,0.00049905,0.00049905
47,175.705,1.19686,1.5653,1.18118,0.00364,1,0.66546,0.39786,1.14704,3.29337,1.09496,0.000501032,0.000501032,0.000501032
48,179.173,1.2808,1.882,1.31177,0.00364,1,0.66546,0.39786,1.14704,3.29337,1.09496,0.000502618,0.000502618,0.000502618
49,182.501,1.02535,1.92593,1.04731,0.00364,1,0.74479,0.44308,1.11025,3.27427,1.04915,0.000503808,0.000503808,0.000503808
50,186.078,1.30329,1.70555,1.27681,0.00364,1,0.74479,0.44308,1.11025,3.27427,1.04915,0.000504602,0.000504602,0.000504602
51,190.088,1.24109,1.88381,1.2165,0.00364,1,0.7378,0.48624,1.01873,3.25082,1.01611,0.000505,0.000505,0.000505
52,193.707,1.27327,1.73101,1.1496,0.00364,1,0.7378,0.48624,1.01873,3.25082,1.01611,0.000505002,0.000505002,0.000505002
53,197.328,1.30525,1.61295,1.15268,0.00364,1,0.7378,0.48624,1.01873,3.25082,1.01611,0.000504608,0.000504608,0.000504608
54,201.155,1.19261,1.85213,1.09551,0.00364,1,0.72624,0.47718,0.98187,3.18918,0.97051,0.000503818,0.000503818,0.000503818
55,205.12,1.31828,1.39474,1.15727,0.00364,1,0.72624,0.47718,0.98187,3.18918,0.97051,0.000502632,0.000502632,0.000502632
56,209.152,1.27736,1.52681,1.17176,0.00364,1,0.72624,0.47718,0.98187,3.18918,0.97051,0.00050105,0.00050105,0.00050105
57,212.905,1.34177,1.96076,1.31621,0.00364,1,0.7786,0.47681,1.08884,3.08319,1.03084,0.000499072,0.000499072,0.000499072
58,217.094,1.23089,1.47811,1.10772,0.00364,1,0.7786,0.47681,1.08884,3.08319,1.03084,0.000496698,0.000496698,0.000496698
59,220.781,1.28668,1.57852,1.20259,0.00364,1,0.7786,0.47681,1.08884,3.08319,1.03084,0.000493928,0.000493928,0.000493928
60,224.293,1.33708,1.70405,1.15943,1,0.16487,0.85249,0.52695,1.09188,3.01426,0.99514,0.000490762,0.000490762,0.000490762
61,227.932,1.27759,1.30646,1.21457,1,0.16487,0.85249,0.52695,1.09188,3.01426,0.99514,0.0004872,0.0004872,0.0004872
62,231.312,1.19777,1.39349,1.13055,1,0.16487,0.85249,0.52695,1.09188,3.01426,0.99514,0.000483242,0.000483242,0.000483242
63,234.498,1.1984,1.62047,1.18265,1,0.16188,0.92885,0.65961,0.98803,2.94363,0.96544,0.000478888,0.000478888,0.000478888
64,237.8,0.84354,1.61494,1.05464,1,0.16188,0.92885,0.65961,0.98803,2.94363,0.96544,0.000474138,0.000474138,0.000474138
65,241.395,0.99974,1.40831,1.10803,1,0.16188,0.92885,0.65961,0.98803,2.94363,0.96544,0.000468992,0.000468992,0.000468992
66,244.83,1.0049,1.43864,1.0718,1,0.22396,0.91851,0.64951,0.92193,2.72123,0.97487,0.00046345,0.00046345,0.00046345
67,248.668,1.15181,1.54224,1.09013,1,0.22396,0.91851,0.64951,0.92193,2.72123,0.97487,0.000457512,0.000457512,0.000457512
68,252.763,0.99059,1.20553,1.0053,1,0.22396,0.91851,0.64951,0.92193,2.72123,0.97487,0.000451178,0.000451178,0.000451178
69,256.638,1.15938,1.46667,1.07389,1,0.67783,0.94885,0.67817,0.89701,2.65059,0.96474,0.000444448,0.000444448,0.000444448
70,259.797,0.904,1.29617,1.02723,1,0.67783,0.94885,0.67817,0.89701,2.65059,0.96474,0.000437322,0.000437322,0.000437322
71,262.819,1.35267,1.57732,1.19117,1,0.67783,0.94885,0.67817,0.89701,2.65059,0.96474,0.0004298,0.0004298,0.0004298
72,266.372,1.19086,1.3591,1.03975,1,0.74014,0.96483,0.66507,1.04405,2.52985,1.01464,0.000421882,0.000421882,0.000421882
73,269.941,1.07482,1.3715,1.09462,1,0.74014,0.96483,0.66507,1.04405,2.52985,1.01464,0.000413568,0.000413568,0.000413568
74,273.172,1.03314,1.34269,1.06949,1,0.74014,0.96483,0.66507,1.04405,2.52985,1.01464,0.000404858,0.000404858,0.000404858
75,276.757,0.95709,1.49919,1.06371,1,0.8379,0.98357,0.68823,1.06672,2.48922,1.02696,0.000395752,0.000395752,0.000395752
76,280.347,1.0487,1.32323,1.07786,1,0.8379,0.98357,0.68823,1.06672,2.48922,1.02696,0.00038625,0.00038625,0.00038625
77,283.641,0.9752,1.61684,1.03223,1,0.8379,0.98357,0.68823,1.06672,2.48922,1.02696,0.000376352,0.000376352,0.000376352
78,287.374,1.13132,1.31028,1.09805,1,0.90165,0.995,0.68064,1.04009,2.4404,1.02424,0.000366058,0.000366058,0.000366058
79,290.738,0.99406,1.28856,1.00132,1,0.90165,0.995,0.68064,1.04009,2.4404,1.02424,0.000355368,0.000355368,0.000355368
80,293.876,0.97001,1.42587,1.05787,1,0.90165,0.995,0.68064,1.04009,2.4404,1.02424,0.000344282,0.000344282,0.000344282
81,297.499,1.03065,1.19972,1.07965,0.99207,1,0.995,0.69207,0.97269,2.35253,1.00876,0.0003328,0.0003328,0.0003328
82,300.679,1.2963,1.69668,1.26428,0.99207,1,0.995,0.69207,0.97269,2.35253,1.00876,0.000320922,0.000320922,0.000320922
83,303.838,1.10893,1.21814,1.12491,0.99207,1,0.995,0.69207,0.97269,2.35253,1.00876,0.000308648,0.000308648,0.000308648
84,307.555,0.8949,1.25975,0.9838,0.96403,1,0.995,0.71416,0.91306,2.26408,0.97973,0.000295978,0.000295978,0.000295978
85,311.252,0.79122,1.19876,0.90904,0.96403,1,0.995,0.71416,0.91306,2.26408,0.97973,0.000282912,0.000282912,0.000282912
86,314.887,1.0738,1.18253,1.11715,0.96403,1,0.995,0.71416,0.91306,2.26408,0.97973,0.00026945,0.00026945,0.00026945
87,318.63,1.06475,1.32439,1.19312,0.96403,1,0.995,0.71416,0.91306,2.26408,0.97973,0.000255592,0.000255592,0.000255592
88,322.121,0.8704,1.18585,1.05585,0.97444,1,0.995,0.74672,0.86789,2.13962,0.95377,0.000241338,0.000241338,0.000241338
89,325.334,1.11806,1.48429,1.2214,0.97444,1,0.995,0.74672,0.86789,2.13962,0.95377,0.000226688,0.000226688,0.000226688
90,328.766,0.95358,1.34359,1.0759,0.97444,1,0.995,0.74672,0.86789,2.13962,0.95377,0.000211642,0.000211642,0.000211642
91,332.053,0.92766,1.51297,0.91969,0.97444,1,0.995,0.74672,0.86789,2.13962,0.95377,0.0001962,0.0001962,0.0001962
92,335.224,0.80088,1.65477,1.01848,0.97938,1,0.995,0.76527,0.81883,2.03352,0.94247,0.000180362,0.000180362,0.000180362
93,338.623,1.1338,1.77532,1.07266,0.97938,1,0.995,0.76527,0.81883,2.03352,0.94247,0.000164128,0.000164128,0.000164128
94,342.164,0.81687,1.55747,1.06005,0.97938,1,0.995,0.76527,0.81883,2.03352,0.94247,0.000147498,0.000147498,0.000147498
95,345.381,0.77778,1.49522,0.96529,0.97938,1,0.995,0.76527,0.81883,2.03352,0.94247,0.000130472,0.000130472,0.000130472
96,348.632,0.87621,1.5685,1.07004,0.98304,1,0.995,0.79421,0.79092,1.91292,0.93361,0.00011305,0.00011305,0.00011305
97,352.136,0.88272,1.51016,0.99811,0.98304,1,0.995,0.79421,0.79092,1.91292,0.93361,9.5232e-05,9.5232e-05,9.5232e-05
98,355.31,0.89238,1.63719,1.03047,0.98304,1,0.995,0.79421,0.79092,1.91292,0.93361,7.7018e-05,7.7018e-05,7.7018e-05
99,358.931,0.84058,1.59645,1.02593,0.98304,1,0.995,0.79421,0.79092,1.91292,0.93361,5.8408e-05,5.8408e-05,5.8408e-05
100,362.164,0.71826,1.4951,0.93068,0.98734,1,0.995,0.79777,0.78912,1.80538,0.94014,3.9402e-05,3.9402e-05,3.9402e-05
